# Medium topology - 99 ASes, 4-tier hierarchy
1001|1002|0|bgp
1001|1003|0|bgp
1002|1003|0|bgp
1001|2001|-1|bgp
1002|2001|-1|bgp
1001|2002|-1|bgp
1003|2002|-1|bgp
1002|2003|-1|bgp
1003|2003|-1|bgp
1001|2004|-1|bgp
1002|2004|-1|bgp
1002|2005|-1|bgp
1003|2005|-1|bgp
1001|2006|-1|bgp
1003|2006|-1|bgp
2001|2003|0|bgp
2002|2004|0|bgp
2003|2005|0|bgp
2004|2006|0|bgp
2001|3001|-1|bgp
2004|3001|-1|bgp
2002|3002|-1|bgp
2003|3003|-1|bgp
2004|3004|-1|bgp
2001|3004|-1|bgp
2005|3005|-1|bgp
2006|3006|-1|bgp
2001|3007|-1|bgp
2004|3007|-1|bgp
2002|3008|-1|bgp
2003|3009|-1|bgp
2004|3010|-1|bgp
2001|3010|-1|bgp
2005|3011|-1|bgp
2006|3012|-1|bgp
2001|3013|-1|bgp
2004|3013|-1|bgp
2002|3014|-1|bgp
2003|3015|-1|bgp
2004|3016|-1|bgp
2001|3016|-1|bgp
2005|3017|-1|bgp
2006|3018|-1|bgp
3001|3004|0|bgp
3007|3010|0|bgp
3013|3016|0|bgp
3001|4001|-1|bgp
3002|4002|-1|bgp
3003|4003|-1|bgp
3004|4004|-1|bgp
3005|4005|-1|bgp
3006|4006|-1|bgp
3007|4007|-1|bgp
3008|4008|-1|bgp
3009|4009|-1|bgp
3010|4010|-1|bgp
3011|4011|-1|bgp
3012|4012|-1|bgp
3013|4013|-1|bgp
3014|4014|-1|bgp
3015|4015|-1|bgp
3016|4016|-1|bgp
3017|4017|-1|bgp
3018|4018|-1|bgp
3001|4019|-1|bgp
3002|4020|-1|bgp
3003|4021|-1|bgp
3004|4022|-1|bgp
3005|4023|-1|bgp
3006|4024|-1|bgp
3007|4025|-1|bgp
3008|4026|-1|bgp
3009|4027|-1|bgp
3010|4028|-1|bgp
3011|4029|-1|bgp
3012|4030|-1|bgp
3013|4031|-1|bgp
3014|4032|-1|bgp
3015|4033|-1|bgp
3016|4034|-1|bgp
3017|4035|-1|bgp
3018|4036|-1|bgp
3001|4037|-1|bgp
3002|4038|-1|bgp
3003|4039|-1|bgp
3004|4040|-1|bgp
3005|4041|-1|bgp
3006|4042|-1|bgp
3007|4043|-1|bgp
3008|4044|-1|bgp
3009|4045|-1|bgp
3010|4046|-1|bgp
3011|4047|-1|bgp
3012|4048|-1|bgp
3013|4049|-1|bgp
3014|4050|-1|bgp
3015|4051|-1|bgp
3016|4052|-1|bgp
3017|4053|-1|bgp
3018|4054|-1|bgp
3001|4055|-1|bgp
3002|4056|-1|bgp
3003|4057|-1|bgp
3004|4058|-1|bgp
3005|4059|-1|bgp
3006|4060|-1|bgp
3007|4061|-1|bgp
3008|4062|-1|bgp
3009|4063|-1|bgp
3010|4064|-1|bgp
3011|4065|-1|bgp
3012|4066|-1|bgp
3013|4067|-1|bgp
3014|4068|-1|bgp
3015|4069|-1|bgp
3016|4070|-1|bgp
3017|4071|-1|bgp
3018|4072|-1|bgp
